site,age_distribution,herbivore_impact,non_native,native_number,native_occupancy,open_space,proportion_favourable,woodland_regeneration,tree_health,ground_vegetation,vertical_structure,veteran_trees,deadwood,size,disturbance,total,condition
1,2,2,3,3,3,2,2,2,3,1,3,3,1,1,2,33,2
2,2,2,3,2,3,2,3,2,3,2,2,3,3,3,2,37,3
3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,2,39,3
4,2,2,3,2,3,2,3,2,3,2,2,2,2,3,2,35,2
5,2,1,3,1,3,1,2,2,3,1,2,1,1,3,2,28,2
6,1,3,3,1,3,1,2,2,3,1,1,1,1,2,2,27,2
7,1,2,3,1,3,1,2,1,3,1,1,1,1,2,2,25,1
8,1,3,3,2,3,1,2,1,3,1,2,1,1,3,2,29,2
9,1,2,3,2,3,1,3,1,3,2,1,2,1,1,2,28,2
10,1,2,3,1,3,1,2,1,3,1,1,1,1,1,2,24,1
