species,sample,presence,site
Regulus_regulus,site1_win1,1,1
Pipistrellus_pygmaeus,site1_win1,1,1
Anthus_trivialis,site1_win1,1,1
Certhia_familiaris,site1_win1,1,1
Muscicapa_striata,site1_win1,1,1
Periparus_ater,site1_win1,1,1
Spinus_spinus,site1_win1,1,1
Troglodytes_troglodytes,site1_win1,1,1
Regulus_regulus,site1_win2,1,1
Pipistrellus_pygmaeus,site1_win2,1,1
Muscicapa_striata,site1_win2,1,1
Periparus_ater,site1_win2,1,1
Spinus_spinus,site1_win2,1,1
Troglodytes_troglodytes,site1_win2,1,1
Erithacus_rubecula,site1_win2,1,1
Regulus_regulus,site1_win3,1,1
Muscicapa_striata,site1_win3,1,1
Periparus_ater,site1_win3,1,1
Spinus_spinus,site1_win3,1,1
Troglodytes_troglodytes,site1_win3,1,1
Erithacus_rubecula,site1_win3,1,1
Motacilla_cinerea,site1_win3,1,1
Phylloscopus_collybita,site1_win3,1,1
Phylloscopus_trochilus,site1_win3,1,1
Tringa_ochropus,site1_win3,1,1
Regulus_regulus,site1_win4,1,1
Certhia_familiaris,site1_win4,1,1
Muscicapa_striata,site1_win4,1,1
Periparus_ater,site1_win4,1,1
Spinus_spinus,site1_win4,1,1
Troglodytes_troglodytes,site1_win4,1,1
Motacilla_cinerea,site1_win4,1,1
Phylloscopus_collybita,site1_win4,1,1
Phylloscopus_trochilus,site1_win4,1,1
Cyanistes_caeruleus,site1_win4,1,1
Loxia_curvirostra,site1_win4,1,1
Regulus_regulus,site1_win5,1,1
Anthus_trivialis,site1_win5,1,1
Certhia_familiaris,site1_win5,1,1
Muscicapa_striata,site1_win5,1,1
Periparus_ater,site1_win5,1,1
Spinus_spinus,site1_win5,1,1
Troglodytes_troglodytes,site1_win5,1,1
Motacilla_cinerea,site1_win5,1,1
Pipistrellus_pygmaeus,site1_win6,1,1
Certhia_familiaris,site1_win6,1,1
Periparus_ater,site1_win6,1,1
Troglodytes_troglodytes,site1_win6,1,1
Motacilla_cinerea,site1_win6,1,1
Phylloscopus_trochilus,site1_win6,1,1
Pipistrellus_pipistrellus,site1_win6,1,1
Alauda_arvensis,site10_win1,1,10
Anthus_pratensis,site10_win1,1,10
Gallinago_gallinago,site10_win1,1,10
Tringa_ochropus,site10_win2,1,10
Alauda_arvensis,site10_win2,1,10
Anthus_pratensis,site10_win2,1,10
Alauda_arvensis,site10_win3,1,10
Anthus_pratensis,site10_win3,1,10
Gallinago_gallinago,site10_win3,1,10
Alauda_arvensis,site10_win4,1,10
Anthus_pratensis,site10_win4,1,10
Alauda_arvensis,site10_win5,1,10
Anthus_pratensis,site10_win5,1,10
Alauda_arvensis,site10_win6,1,10
Anthus_pratensis,site10_win6,1,10
Tringa_nebularia,site10_win6,1,10
Cygnus_olor,site10_win6,1,10
Regulus_regulus,site2_win1,1,2
Pipistrellus_pygmaeus,site2_win1,1,2
Periparus_ater,site2_win1,1,2
Spinus_spinus,site2_win1,1,2
Troglodytes_troglodytes,site2_win1,1,2
Erithacus_rubecula,site2_win1,1,2
Phylloscopus_collybita,site2_win1,1,2
Phylloscopus_trochilus,site2_win1,1,2
Cyanistes_caeruleus,site2_win1,1,2
Pipistrellus_pipistrellus,site2_win1,1,2
Corvus_corone,site2_win1,1,2
Fringilla_coelebs,site2_win1,1,2
Scolopax_rusticola,site2_win1,1,2
Strix_aluco,site2_win1,1,2
Aegithalos_caudatus,site2_win1,1,2
Dendrocopos_major,site2_win1,1,2
Prunella_modularis,site2_win1,1,2
Pyrrhula_pyrrhula,site2_win1,1,2
Regulus_regulus,site2_win2,1,2
Pipistrellus_pygmaeus,site2_win2,1,2
Periparus_ater,site2_win2,1,2
Spinus_spinus,site2_win2,1,2
Troglodytes_troglodytes,site2_win2,1,2
Erithacus_rubecula,site2_win2,1,2
Phylloscopus_collybita,site2_win2,1,2
Phylloscopus_trochilus,site2_win2,1,2
Cyanistes_caeruleus,site2_win2,1,2
Pipistrellus_pipistrellus,site2_win2,1,2
Corvus_corone,site2_win2,1,2
Fringilla_coelebs,site2_win2,1,2
Scolopax_rusticola,site2_win2,1,2
Strix_aluco,site2_win2,1,2
Dendrocopos_major,site2_win2,1,2
Prunella_modularis,site2_win2,1,2
Turdus_merula,site2_win2,1,2
Columba_palumbus,site2_win2,1,2
Parus_major,site2_win2,1,2
Regulus_regulus,site2_win3,1,2
Pipistrellus_pygmaeus,site2_win3,1,2
Periparus_ater,site2_win3,1,2
Spinus_spinus,site2_win3,1,2
Troglodytes_troglodytes,site2_win3,1,2
Erithacus_rubecula,site2_win3,1,2
Phylloscopus_collybita,site2_win3,1,2
Phylloscopus_trochilus,site2_win3,1,2
Pipistrellus_pipistrellus,site2_win3,1,2
Corvus_corone,site2_win3,1,2
Fringilla_coelebs,site2_win3,1,2
Scolopax_rusticola,site2_win3,1,2
Strix_aluco,site2_win3,1,2
Dendrocopos_major,site2_win3,1,2
Pyrrhula_pyrrhula,site2_win3,1,2
Turdus_merula,site2_win3,1,2
Anas_crecca,site2_win3,1,2
Buteo_buteo,site2_win3,1,2
Phasianus_colchicus,site2_win3,1,2
Regulus_regulus,site2_win4,1,2
Pipistrellus_pygmaeus,site2_win4,1,2
Periparus_ater,site2_win4,1,2
Spinus_spinus,site2_win4,1,2
Troglodytes_troglodytes,site2_win4,1,2
Erithacus_rubecula,site2_win4,1,2
Motacilla_cinerea,site2_win4,1,2
Phylloscopus_collybita,site2_win4,1,2
Phylloscopus_trochilus,site2_win4,1,2
Pipistrellus_pipistrellus,site2_win4,1,2
Corvus_corone,site2_win4,1,2
Fringilla_coelebs,site2_win4,1,2
Scolopax_rusticola,site2_win4,1,2
Strix_aluco,site2_win4,1,2
Dendrocopos_major,site2_win4,1,2
Pyrrhula_pyrrhula,site2_win4,1,2
Buteo_buteo,site2_win4,1,2
Columba_palumbus,site2_win4,1,2
Actitis_hypoleucos,site2_win4,1,2
Tringa_totanus,site2_win4,1,2
Regulus_regulus,site2_win5,1,2
Pipistrellus_pygmaeus,site2_win5,1,2
Muscicapa_striata,site2_win5,1,2
Periparus_ater,site2_win5,1,2
Spinus_spinus,site2_win5,1,2
Troglodytes_troglodytes,site2_win5,1,2
Erithacus_rubecula,site2_win5,1,2
Phylloscopus_collybita,site2_win5,1,2
Phylloscopus_trochilus,site2_win5,1,2
Cyanistes_caeruleus,site2_win5,1,2
Pipistrellus_pipistrellus,site2_win5,1,2
Corvus_corone,site2_win5,1,2
Fringilla_coelebs,site2_win5,1,2
Scolopax_rusticola,site2_win5,1,2
Strix_aluco,site2_win5,1,2
Aegithalos_caudatus,site2_win5,1,2
Dendrocopos_major,site2_win5,1,2
Turdus_merula,site2_win5,1,2
Anas_crecca,site2_win5,1,2
Buteo_buteo,site2_win5,1,2
Parus_major,site2_win5,1,2
Corvus_corax,site2_win5,1,2
Regulus_regulus,site2_win6,1,2
Pipistrellus_pygmaeus,site2_win6,1,2
Periparus_ater,site2_win6,1,2
Spinus_spinus,site2_win6,1,2
Troglodytes_troglodytes,site2_win6,1,2
Erithacus_rubecula,site2_win6,1,2
Phylloscopus_collybita,site2_win6,1,2
Phylloscopus_trochilus,site2_win6,1,2
Cyanistes_caeruleus,site2_win6,1,2
Pipistrellus_pipistrellus,site2_win6,1,2
Corvus_corone,site2_win6,1,2
Fringilla_coelebs,site2_win6,1,2
Scolopax_rusticola,site2_win6,1,2
Dendrocopos_major,site2_win6,1,2
Turdus_merula,site2_win6,1,2
Columba_palumbus,site2_win6,1,2
Parus_major,site2_win6,1,2
Cuculus_canorus,site2_win6,1,2
Streptopelia_decaocto,site2_win6,1,2
Regulus_regulus,site3_win1,1,3
Pipistrellus_pygmaeus,site3_win1,1,3
Certhia_familiaris,site3_win1,1,3
Periparus_ater,site3_win1,1,3
Spinus_spinus,site3_win1,1,3
Troglodytes_troglodytes,site3_win1,1,3
Erithacus_rubecula,site3_win1,1,3
Phylloscopus_trochilus,site3_win1,1,3
Cyanistes_caeruleus,site3_win1,1,3
Pipistrellus_pipistrellus,site3_win1,1,3
Fringilla_coelebs,site3_win1,1,3
Scolopax_rusticola,site3_win1,1,3
Strix_aluco,site3_win1,1,3
Prunella_modularis,site3_win1,1,3
Pyrrhula_pyrrhula,site3_win1,1,3
Buteo_buteo,site3_win1,1,3
Parus_major,site3_win1,1,3
Sylvia_atricapilla,site3_win1,1,3
Turdus_philomelos,site3_win1,1,3
Myotis_daubentonii,site3_win1,1,3
Anser_anser,site3_win1,1,3
Ardea_cinerea,site3_win1,1,3
Regulus_regulus,site3_win2,1,3
Certhia_familiaris,site3_win2,1,3
Muscicapa_striata,site3_win2,1,3
Periparus_ater,site3_win2,1,3
Spinus_spinus,site3_win2,1,3
Troglodytes_troglodytes,site3_win2,1,3
Erithacus_rubecula,site3_win2,1,3
Phylloscopus_trochilus,site3_win2,1,3
Pipistrellus_pipistrellus,site3_win2,1,3
Corvus_corone,site3_win2,1,3
Fringilla_coelebs,site3_win2,1,3
Strix_aluco,site3_win2,1,3
Aegithalos_caudatus,site3_win2,1,3
Dendrocopos_major,site3_win2,1,3
Prunella_modularis,site3_win2,1,3
Pyrrhula_pyrrhula,site3_win2,1,3
Buteo_buteo,site3_win2,1,3
Columba_palumbus,site3_win2,1,3
Parus_major,site3_win2,1,3
Sylvia_atricapilla,site3_win2,1,3
Turdus_philomelos,site3_win2,1,3
Regulus_regulus,site3_win3,1,3
Certhia_familiaris,site3_win3,1,3
Muscicapa_striata,site3_win3,1,3
Periparus_ater,site3_win3,1,3
Spinus_spinus,site3_win3,1,3
Troglodytes_troglodytes,site3_win3,1,3
Erithacus_rubecula,site3_win3,1,3
Phylloscopus_collybita,site3_win3,1,3
Phylloscopus_trochilus,site3_win3,1,3
Cyanistes_caeruleus,site3_win3,1,3
Corvus_corone,site3_win3,1,3
Fringilla_coelebs,site3_win3,1,3
Scolopax_rusticola,site3_win3,1,3
Strix_aluco,site3_win3,1,3
Prunella_modularis,site3_win3,1,3
Pyrrhula_pyrrhula,site3_win3,1,3
Columba_palumbus,site3_win3,1,3
Turdus_philomelos,site3_win3,1,3
Regulus_regulus,site3_win4,1,3
Pipistrellus_pygmaeus,site3_win4,1,3
Certhia_familiaris,site3_win4,1,3
Spinus_spinus,site3_win4,1,3
Troglodytes_troglodytes,site3_win4,1,3
Erithacus_rubecula,site3_win4,1,3
Phylloscopus_collybita,site3_win4,1,3
Phylloscopus_trochilus,site3_win4,1,3
Cyanistes_caeruleus,site3_win4,1,3
Pipistrellus_pipistrellus,site3_win4,1,3
Corvus_corone,site3_win4,1,3
Fringilla_coelebs,site3_win4,1,3
Scolopax_rusticola,site3_win4,1,3
Strix_aluco,site3_win4,1,3
Prunella_modularis,site3_win4,1,3
Pyrrhula_pyrrhula,site3_win4,1,3
Turdus_merula,site3_win4,1,3
Columba_palumbus,site3_win4,1,3
Parus_major,site3_win4,1,3
Sylvia_atricapilla,site3_win4,1,3
Turdus_philomelos,site3_win4,1,3
Myotis_daubentonii,site3_win4,1,3
Regulus_regulus,site3_win5,1,3
Pipistrellus_pygmaeus,site3_win5,1,3
Muscicapa_striata,site3_win5,1,3
Periparus_ater,site3_win5,1,3
Spinus_spinus,site3_win5,1,3
Troglodytes_troglodytes,site3_win5,1,3
Erithacus_rubecula,site3_win5,1,3
Phylloscopus_trochilus,site3_win5,1,3
Cyanistes_caeruleus,site3_win5,1,3
Pipistrellus_pipistrellus,site3_win5,1,3
Corvus_corone,site3_win5,1,3
Fringilla_coelebs,site3_win5,1,3
Scolopax_rusticola,site3_win5,1,3
Strix_aluco,site3_win5,1,3
Prunella_modularis,site3_win5,1,3
Pyrrhula_pyrrhula,site3_win5,1,3
