genus,sample,presence,site
Helotiales,09_01,0,9
Helotiales,09_10,0,9
Helotiales,07_09,0,7
Helotiales,07_10,0,7
Helotiales,07_11,0,7
Helotiales,07_12,0,7
Helotiales,07_13,0,7
Helotiales,07_17,0,7
Helotiales,07_18,0,7
Helotiales,07_19,0,7
Helotiales,07_20,0,7
Helotiales,09_11,0,9
Helotiales,08_01,0,8
Helotiales,08_02,1,8
Helotiales,08_03,1,8
Helotiales,08_04,0,8
Helotiales,08_05,0,8
Helotiales,08_06,0,8
Helotiales,08_07,0,8
Helotiales,08_08,1,8
Helotiales,08_14,0,8
Helotiales,09_12,0,9
Helotiales,08_15,1,8
Helotiales,08_16,0,8
Helotiales,08_09,0,8
Helotiales,08_10,1,8
Helotiales,08_11,1,8
Helotiales,08_12,0,8
Helotiales,08_13,0,8
Helotiales,08_17,0,8
Helotiales,08_18,0,8
Helotiales,08_19,0,8
Helotiales,09_13,0,9
Helotiales,08_20,0,8
Helotiales,01_01,0,1
Helotiales,01_02,0,1
Helotiales,01_03,0,1
Helotiales,01_04,0,1
Helotiales,01_05,0,1
Helotiales,01_06,0,1
Helotiales,01_07,0,1
Helotiales,09_14,0,9
Helotiales,01_08,0,1
Helotiales,01_12,0,1
Helotiales,01_13,0,1
Helotiales,01_14,0,1
Helotiales,01_15,0,1
Helotiales,01_16,0,1
Helotiales,01_09,0,1
Helotiales,01_10,0,1
Helotiales,01_11,0,1
Helotiales,01_17,0,1
Helotiales,09_15,0,9
Helotiales,01_18,0,1
Helotiales,01_19,0,1
Helotiales,01_20,0,1
Helotiales,02_01,0,2
Helotiales,02_02,0,2
Helotiales,02_03,0,2
Helotiales,02_04,0,2
Helotiales,02_05,0,2
Helotiales,09_16,0,9
Helotiales,02_06,0,2
Helotiales,02_08,0,2
Helotiales,02_09,0,2
Helotiales,02_10,0,2
Helotiales,02_11,0,2
Helotiales,02_12,0,2
Helotiales,02_13,0,2
Helotiales,02_14,0,2
Helotiales,02_15,0,2
Helotiales,09_17,0,9
Helotiales,02_16,0,2
Helotiales,02_17,0,2
Helotiales,02_18,0,2
Helotiales,02_19,0,2
Helotiales,02_20,0,2
Helotiales,03_01,0,3
Helotiales,03_02,0,3
Helotiales,03_03,0,3
Helotiales,09_18,0,9
Helotiales,03_04,0,3
Helotiales,03_05,0,3
Helotiales,03_06,0,3
Helotiales,03_07,0,3
Helotiales,03_09,0,3
Helotiales,03_10,0,3
Helotiales,03_11,0,3
Helotiales,03_12,0,3
Helotiales,03_13,0,3
Helotiales,09_19,0,9
Helotiales,03_14,0,3
Helotiales,03_15,0,3
Helotiales,03_16,0,3
Helotiales,03_17,0,3
Helotiales,03_18,0,3
Helotiales,03_19,0,3
Helotiales,03_20,0,3
Helotiales,04_01,0,4
Helotiales,09_02,0,9
Helotiales,09_20,0,9
Helotiales,04_02,0,4
Helotiales,04_03,0,4
Helotiales,04_04,0,4
Helotiales,04_05,0,4
Helotiales,04_06,0,4
Helotiales,04_07,0,4
Helotiales,04_08,0,4
Helotiales,04_09,0,4
Helotiales,04_10,0,4
Helotiales,04_11,0,4
Helotiales,04_12,0,4
Helotiales,04_13,0,4
Helotiales,04_14,0,4
Helotiales,04_15,0,4
Helotiales,04_16,0,4
Helotiales,04_17,0,4
Helotiales,04_18,0,4
Helotiales,04_19,0,4
Helotiales,04_20,0,4
Helotiales,10_01,0,10
Helotiales,10_02,0,10
Helotiales,10_03,0,10
Helotiales,10_04,0,10
Helotiales,10_05,0,10
Helotiales,10_06,0,10
Helotiales,10_07,0,10
Helotiales,09_03,0,9
Helotiales,10_08,0,10
Helotiales,10_09,0,10
Helotiales,10_10,0,10
Helotiales,10_11,0,10
Helotiales,10_12,0,10
Helotiales,10_13,0,10
Helotiales,10_14,0,10
Helotiales,10_15,0,10
Helotiales,10_16,0,10
Helotiales,10_17,0,10
Helotiales,09_04,0,9
Helotiales,10_18,0,10
Helotiales,10_19,0,10
Helotiales,10_20,0,10
Helotiales,05_01,0,5
Helotiales,05_02,0,5
Helotiales,05_03,0,5
Helotiales,05_04,0,5
Helotiales,05_05,0,5
Helotiales,09_05,0,9
Helotiales,05_06,0,5
Helotiales,05_07,0,5
Helotiales,05_08,0,5
Helotiales,05_14,0,5
Helotiales,05_15,0,5
Helotiales,05_16,0,5
Helotiales,05_09,0,5
Helotiales,05_10,0,5
Helotiales,05_11,0,5
Helotiales,05_12,0,5
Helotiales,09_06,0,9
Helotiales,05_13,0,5
Helotiales,05_17,0,5
Helotiales,05_18,0,5
Helotiales,05_19,0,5
Helotiales,05_20,0,5
Helotiales,06_01,0,6
Helotiales,06_02,0,6
Helotiales,06_03,0,6
Helotiales,09_07,0,9
Helotiales,06_04,0,6
Helotiales,06_05,1,6
Helotiales,06_06,0,6
Helotiales,06_07,0,6
Helotiales,06_08,0,6
Helotiales,06_14,0,6
Helotiales,06_15,0,6
Helotiales,06_16,0,6
Helotiales,06_09,0,6
Helotiales,06_10,0,6
Helotiales,09_08,0,9
Helotiales,06_11,0,6
Helotiales,06_12,0,6
Helotiales,06_13,0,6
Helotiales,06_17,0,6
Helotiales,06_18,1,6
Helotiales,06_19,0,6
Helotiales,06_20,0,6
Helotiales,07_01,1,7
Helotiales,09_09,0,9
Helotiales,07_02,1,7
Helotiales,07_04,0,7
Helotiales,07_05,0,7
Helotiales,07_06,1,7
Helotiales,07_07,0,7
