phylum,class,order,family,genus,species,jrk_template,Phylum,Class,Order,Family,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0008540.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,Sistotrema_eximum;sh__SH0068094.10FU,jrk08105,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales family incertae sedis,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,
Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Cantharellales_gen_Incertae_sedis,Cantharellales_sp;sh__SH0134626.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0008363.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp;sh__SH0003292.10FU,jrk08004,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,root_endophyte,soil_saprotroph,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_simulans;sh__SH0098289.10FU,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Luellia,Luellia_recondita;sh__SH0175542.10FU,jrk04814,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,wood_saprotroph,,,,,wood,white_rot,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,
Ascomycota,Eurotiomycetes,Phaeomoniellales,Celotheliaceae,Aequabiliella,Aequabiliella_effusa;sh__SH0044636.10FU,jrk00142,Ascomycota,Eurotiomycetes,Phaeomoniellales,Celotheliaceae,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",,,,,
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_castanea;sh__SH0063172.10FU,jrk04145,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,
Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp;sh__SH0031717.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp,jrk07726,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,
Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Alfoldia,Alfoldia_vorosii;sh__SH0110020.10FU,jrk11031,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,,root_endophyte,,,root_endophyte,,,,non-aquatic,,Juniperus,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",,,,,
Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Clavulinopsis_sp;sh__SH0142311.10FU,jrk01853,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,
Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces_anomalus;sh__SH0123087.10FU,jrk09951,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,,litter_saprotroph,nectar/tap_saprotroph,,,,"leaf/fruit/seed,sugar-rich_substrates",,partly_marine_(partly_non-aquatic),opportunistic_human_parasite,,yeast,none,none,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Lecanoromycetes,Lecanoromycetes_ord_Incertae_sedis,Micropeltidaceae,Micropeltidaceae_gen_Incertae_sedis,Micropeltidaceae_sp;sh__SH0055531.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_sp;sh__SH0193239.10FU,jrk07761,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,,soil_saprotroph,,,,,soil,,partly_aquatic,,,yeast,none,none,,,,
Ascomycota,Lecanoromycetes,Lecanoromycetes_ord_Incertae_sedis,Micropeltidaceae,Micropeltidaceae_gen_Incertae_sedis,Micropeltidaceae_sp;sh__SH0004432.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,Podila_humilis;sh__SH0097986.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon_luteolus;sh__SH0154658.10FU,jrk09605,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,,ectomycorrhizal,,,,,,,non-aquatic,,Pinaceae,filamentous_mycelium,gasteroid,closed,long-distance,/suillus-rhizopogon,,
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0008381.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0013028.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_sp;sh__SH0167694.10FU,jrk02855,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_delicate,/elaphomyces,,
Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,Geoglossum_fallax;sh__SH0105393.10FU,jrk03376,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,
Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Sympoventuriaceae_gen_Incertae_sedis,Sympoventuriaceae_sp;sh__SH0014334.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp;sh__SH0093813.10FU,jrk00567,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,
Basidiomycota,Agaricomycetes,Sebacinales,Sebacinales_fam_Incertae_sedis,Sebacinales_gen_Incertae_sedis,Sebacinales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_fam_Incertae_sedis,Sporidiobolales_gen_Incertae_sedis,Sporidiobolales_sp;sh__SH0182745.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Camarophyllopsis,Camarophyllopsis_deceptiva;sh__SH0162554.10FU,jrk01362,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0110652.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscyphaceae_gen_Incertae_sedis,Hyaloscyphaceae_sp;sh__SH0110625.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
