"sample","taxon_id","presence","site"
"01_01","f__Achromadoridae",0,1
"01_01","f__Alycidae",0,1
"01_01","f__Anystidae",0,1
"01_01","f__Bdellidae",0,1
"01_01","f__Brachychthoniidae",0,1
"01_01","f__Candonidae",0,1
"01_01","f__Catenulidae",0,1
"01_01","f__Eniochthoniidae",0,1
"01_01","f__Eulohmanniidae",0,1
"01_01","f__Euphthiracaridae",0,1
"01_01","f__Eviphididae",0,1
"01_01","f__Halacaridae",0,1
"01_01","f__Hemileiidae",0,1
"01_01","f__Julidae",0,1
"01_01","f__Labidostommatidae",0,1
"01_01","f__Macrochelidae",0,1
"01_01","f__Oppiidae",0,1
"01_01","f__Paronellidae",0,1
"01_01","f__Rhagidiidae",0,1
"01_01","f__Stenostomidae",0,1
"01_01","f__Tomoceridae",0,1
"01_01","f__Tylenchidae",0,1
"01_01","f__Tylenchulidae",0,1
"01_01","f__Zerconidae",0,1
"01_01","g__Achaeta",0,1
"01_01","g__Adineta",0,1
"01_01","g__Alaimus",0,1
"01_01","g__Allodorylaimus",0,1
"01_01","g__Aphelenchoides",1,1
"01_01","g__Aporcelaimellus",0,1
"01_01","g__Astatumen",0,1
"01_01","g__Attheyella",0,1
"01_01","g__Baicalellia",0,1
"01_01","g__Bastiania",0,1
"01_01","g__Bertolanius",0,1
"01_01","g__Bryocamptus",0,1
"01_01","g__Bunonema",1,1
"01_01","g__Cephalenchus",0,1
"01_01","g__Cernosvitoviella",0,1
"01_01","g__Chaetonotus",0,1
"01_01","g__Choriorhabditis",0,1
"01_01","g__Chrysonema",0,1
"01_01","g__Clarkus",0,1
"01_01","g__Collotheca",0,1
"01_01","g__Coslenchus",0,1
"01_01","g__Crassolabium",0,1
"01_01","g__Criconema",0,1
"01_01","g__Cylindrolaimus",0,1
"01_01","g__Cyrthermannia",0,1
"01_01","g__Didymodactylos",0,1
"01_01","g__Diphascon",0,1
"01_01","g__Diplogasteroides",0,1
"01_01","g__Discotylenchus",0,1
"01_01","g__Ditylenchus",0,1
"01_01","g__Ecphyadophora",0,1
"01_01","g__Enchodelus",0,1
"01_01","g__Ethmolaimus",0,1
"01_01","g__Eudorylaimus",0,1
"01_01","g__Eumonhystera",1,1
"01_01","g__Euteratocephalus",0,1
"01_01","g__Filenchus",1,1
"01_01","g__Floscularia",0,1
"01_01","g__Foveacheles",0,1
"01_01","g__Friesea",0,1
"01_01","g__Geminoppia",1,1
"01_01","g__Geocentrophora",0,1
"01_01","g__Geomonhystera",0,1
"01_01","g__Haliplectus",0,1
"01_01","g__Helicotylenchus",0,1
"01_01","g__Hemienchytraeus",0,1
"01_01","g__Hermannia",0,1
"01_01","g__Heterolepidoderma",0,1
"01_01","g__Howardula",0,1
"01_01","g__Hypogastrura",0,1
"01_01","g__Ironus",0,1
"01_01","g__Isohypsibius",0,1
"01_01","g__Itunella",0,1
"01_01","g__Labidostomma",0,1
"01_01","g__Liochthonius",0,1
"01_01","g__Lumbricus",0,1
"01_01","g__Macrobiotus",0,1
"01_01","g__Malthodes",0,1
"01_01","g__Marionina",1,1
"01_01","g__Mesenchytraeus",0,1
"01_01","g__Mesobiotus",0,1
"01_01","g__Mesocriconema",0,1
"01_01","g__Mesocrista",0,1
"01_01","g__Metateratocephalus",1,1
"01_01","g__Microplana",0,1
"01_01","g__Mononchus",0,1
"01_01","g__Notholca",1,1
"01_01","g__Nothrus",0,1
"01_01","g__Nygolaimus",0,1
"01_01","g__Odontolaimus",0,1
"01_01","g__Onychiurus",0,1
"01_01","g__Oribatula",0,1
"01_01","g__Palaeacarus",0,1
"01_01","g__Paraphanolaimus",0,1
"01_01","g__Paravulvus",0,1
"01_01","g__Pergamasus",0,1
"01_01","g__Pheromermis",0,1
"01_01","g__Poecilochirus",0,1
"01_01","g__Prismatolaimus",0,1
"01_01","g__Pristionchus",0,1
"01_01","g__Prodesmodora",0,1
"01_01","g__Proleptonchus",0,1
"01_01","g__Protaphorura",0,1
"01_01","g__Rhabditophanes",0,1
"01_01","g__Rhabdolaimus",0,1
"01_01","g__Rotylenchus",0,1
"01_01","g__Sphaeronema",0,1
"01_01","g__Stenonchulus",0,1
"01_01","g__Theristus",1,1
"01_01","g__Trachytes",0,1
"01_01","g__Tripyla",0,1
"01_01","g__Tritegeus",0,1
"01_01","g__Tylencholaimus",0,1
"01_01","g__Tylolaimophorus",0,1
"01_01","g__Veigaia",0,1
"01_01","g__Zeatylenchus",0,1
"01_01","o__Bdelloida",0,1
"01_01","o__Psocodea",0,1
"01_01","o__Rhabdocoela",0,1
"01_01","o__Tricladida",0,1
"01_01","s__Achipteria coleoptrata",0,1
"01_01","s__Acrochordonoposthia conica",0,1
"01_01","s__Aglenchus agricola",0,1
"01_01","s__Aphelenchus avenae",0,1
"01_01","s__Arion ater",0,1
"01_01","s__Atopochthonius artiodactylus",0,1
"01_01","s__Basiria duplexa",0,1
"01_01","s__Buchholzia appendiculata",0,1
"01_01","s__Catenula turgida",1,1
"01_01","s__Cernosvitoviella aggtelekiensis",0,1
"01_01","s__Cernosvitoviella atrata",1,1
"01_01","s__Cernosvitoviella minor",0,1
"01_01","s__Dicyrtomina saundersi",0,1
"01_01","s__Enchodeloides signyensis",0,1
"01_01","s__Enchytraeus crypticus",0,1
"01_01","s__Filenchus misellus",0,1
"01_01","s__Folsomia candida",0,1
"01_01","s__Gnathorhynchus inermis",0,1
"01_01","s__Howardula phyllotretae",0,1
"01_01","s__Hrabeiella periglandulata",0,1
"01_01","s__Hypochthonius rufulus",0,1
"01_01","s__Hypsibius dujardini",0,1
"01_01","s__Ichthydium skandicum",0,1
"01_01","s__Isotomiella minor",0,1
"01_01","s__Lepidodermella intermedia",0,1
"01_01","s__Macrobiotus hufelandi",0,1
"01_01","s__Microdalyellia armigera",0,1
"01_01","s__Microplana fuscomaculosa",0,1
"01_01","s__Microplana kwiskea",0,1
"01_01","s__Microplana terrestris",0,1
"01_01","s__Naiadacarus arboricola",0,1
"01_01","s__Neanura muscorum",0,1
"01_01","s__Nemastoma bimaculatum",0,1
"01_01","s__Olisthanella truncula",0,1
"01_01","s__Oppiella nova",1,1
"01_01","s__Proteroiulus fuscus",0,1
"01_01","s__Pseudosinella alba",0,1
"01_01","s__Richtersius coronifer",0,1
"01_01","s__Sminthurides aquaticus",0,1
"01_01","s__Steganacarus magnus",0,1
"01_01","s__Steinernema affine",0,1
"01_01","s__Steinernema glaseri",0,1
"01_01","s__Styloplanella strongylostomoides",0,1
"01_01","s__Tectocepheus velatus",0,1
"01_01","s__Teratocephalus lirellus",1,1
"01_01","s__Teratocephalus terrestris",0,1
"01_01","s__Tomocerus minor",0,1
"01_01","s__Trachytes baloghi",0,1
"01_01","s__Tullbergia yosii",0,1
"01_01","s__Weberacantha beckeri",0,1
"01_01","s__Xenillus tegeocranus",0,1
"01_02","f__Achromadoridae",0,1
"01_02","f__Alycidae",0,1
"01_02","f__Anystidae",0,1
"01_02","f__Bdellidae",0,1
"01_02","f__Brachychthoniidae",0,1
"01_02","f__Candonidae",0,1
"01_02","f__Catenulidae",0,1
"01_02","f__Eniochthoniidae",0,1
"01_02","f__Eulohmanniidae",0,1
"01_02","f__Euphthiracaridae",0,1
"01_02","f__Eviphididae",0,1
"01_02","f__Halacaridae",0,1
"01_02","f__Hemileiidae",0,1
"01_02","f__Julidae",0,1
"01_02","f__Labidostommatidae",0,1
"01_02","f__Macrochelidae",0,1
"01_02","f__Oppiidae",0,1
"01_02","f__Paronellidae",0,1
"01_02","f__Rhagidiidae",0,1
"01_02","f__Stenostomidae",1,1
"01_02","f__Tomoceridae",0,1
"01_02","f__Tylenchidae",1,1
"01_02","f__Tylenchulidae",1,1
"01_02","f__Zerconidae",0,1
"01_02","g__Achaeta",0,1
"01_02","g__Adineta",0,1
"01_02","g__Alaimus",1,1
"01_02","g__Allodorylaimus",0,1
"01_02","g__Aphelenchoides",0,1
"01_02","g__Aporcelaimellus",0,1
"01_02","g__Astatumen",0,1
"01_02","g__Attheyella",0,1
"01_02","g__Baicalellia",0,1
"01_02","g__Bastiania",1,1
"01_02","g__Bertolanius",0,1
"01_02","g__Bryocamptus",0,1
"01_02","g__Bunonema",1,1
"01_02","g__Cephalenchus",0,1
"01_02","g__Cernosvitoviella",0,1
"01_02","g__Chaetonotus",0,1
"01_02","g__Choriorhabditis",0,1
"01_02","g__Chrysonema",0,1
"01_02","g__Clarkus",0,1
"01_02","g__Collotheca",0,1
"01_02","g__Coslenchus",1,1
"01_02","g__Crassolabium",0,1
"01_02","g__Criconema",1,1
"01_02","g__Cylindrolaimus",0,1
"01_02","g__Cyrthermannia",0,1
"01_02","g__Didymodactylos",0,1
"01_02","g__Diphascon",0,1
"01_02","g__Diplogasteroides",1,1
"01_02","g__Discotylenchus",0,1
"01_02","g__Ditylenchus",0,1
"01_02","g__Ecphyadophora",0,1
"01_02","g__Enchodelus",0,1
"01_02","g__Ethmolaimus",0,1
"01_02","g__Eudorylaimus",0,1
"01_02","g__Eumonhystera",1,1
"01_02","g__Euteratocephalus",0,1
"01_02","g__Filenchus",0,1
"01_02","g__Floscularia",0,1
"01_02","g__Foveacheles",0,1
"01_02","g__Friesea",0,1
"01_02","g__Geminoppia",0,1
"01_02","g__Geocentrophora",0,1
"01_02","g__Geomonhystera",0,1
"01_02","g__Haliplectus",0,1
"01_02","g__Helicotylenchus",0,1
"01_02","g__Hemienchytraeus",0,1
"01_02","g__Hermannia",0,1
"01_02","g__Heterolepidoderma",0,1
"01_02","g__Howardula",0,1
"01_02","g__Hypogastrura",0,1
"01_02","g__Ironus",0,1
"01_02","g__Isohypsibius",1,1
"01_02","g__Itunella",0,1
"01_02","g__Labidostomma",0,1
"01_02","g__Liochthonius",0,1
"01_02","g__Lumbricus",0,1
"01_02","g__Macrobiotus",0,1
"01_02","g__Malthodes",0,1
"01_02","g__Marionina",0,1
"01_02","g__Mesenchytraeus",0,1
"01_02","g__Mesobiotus",0,1
"01_02","g__Mesocriconema",0,1
"01_02","g__Mesocrista",0,1
"01_02","g__Metateratocephalus",0,1
"01_02","g__Microplana",0,1
"01_02","g__Mononchus",0,1
"01_02","g__Notholca",0,1
"01_02","g__Nothrus",0,1
"01_02","g__Nygolaimus",0,1
"01_02","g__Odontolaimus",1,1
"01_02","g__Onychiurus",0,1
"01_02","g__Oribatula",0,1
"01_02","g__Palaeacarus",0,1
"01_02","g__Paraphanolaimus",0,1
"01_02","g__Paravulvus",0,1
"01_02","g__Pergamasus",0,1
"01_02","g__Pheromermis",0,1
"01_02","g__Poecilochirus",0,1
"01_02","g__Prismatolaimus",1,1
"01_02","g__Pristionchus",0,1
"01_02","g__Prodesmodora",1,1
"01_02","g__Proleptonchus",0,1
"01_02","g__Protaphorura",0,1
"01_02","g__Rhabditophanes",0,1
"01_02","g__Rhabdolaimus",0,1
"01_02","g__Rotylenchus",0,1
"01_02","g__Sphaeronema",0,1
"01_02","g__Stenonchulus",0,1
"01_02","g__Theristus",0,1
"01_02","g__Trachytes",0,1
"01_02","g__Tripyla",0,1
"01_02","g__Tritegeus",0,1
"01_02","g__Tylencholaimus",0,1
"01_02","g__Tylolaimophorus",0,1
"01_02","g__Veigaia",1,1
"01_02","g__Zeatylenchus",0,1
"01_02","o__Bdelloida",1,1
"01_02","o__Psocodea",0,1
"01_02","o__Rhabdocoela",0,1
"01_02","o__Tricladida",0,1
"01_02","s__Achipteria coleoptrata",0,1
"01_02","s__Acrochordonoposthia conica",0,1
"01_02","s__Aglenchus agricola",0,1
"01_02","s__Aphelenchus avenae",1,1
"01_02","s__Arion ater",0,1
"01_02","s__Atopochthonius artiodactylus",0,1
"01_02","s__Basiria duplexa",0,1
"01_02","s__Buchholzia appendiculata",0,1
"01_02","s__Catenula turgida",0,1
"01_02","s__Cernosvitoviella aggtelekiensis",0,1
"01_02","s__Cernosvitoviella atrata",0,1
"01_02","s__Cernosvitoviella minor",0,1
"01_02","s__Dicyrtomina saundersi",0,1
"01_02","s__Enchodeloides signyensis",0,1
"01_02","s__Enchytraeus crypticus",0,1
"01_02","s__Filenchus misellus",1,1
"01_02","s__Folsomia candida",0,1
"01_02","s__Gnathorhynchus inermis",0,1
"01_02","s__Howardula phyllotretae",0,1
"01_02","s__Hrabeiella periglandulata",0,1
"01_02","s__Hypochthonius rufulus",0,1
"01_02","s__Hypsibius dujardini",0,1
"01_02","s__Ichthydium skandicum",0,1
"01_02","s__Isotomiella minor",0,1
"01_02","s__Lepidodermella intermedia",0,1
"01_02","s__Macrobiotus hufelandi",0,1
"01_02","s__Microdalyellia armigera",0,1
"01_02","s__Microplana fuscomaculosa",0,1
"01_02","s__Microplana kwiskea",0,1
"01_02","s__Microplana terrestris",0,1
"01_02","s__Naiadacarus arboricola",0,1
"01_02","s__Neanura muscorum",0,1
"01_02","s__Nemastoma bimaculatum",0,1
"01_02","s__Olisthanella truncula",0,1
"01_02","s__Oppiella nova",0,1
"01_02","s__Proteroiulus fuscus",0,1
"01_02","s__Pseudosinella alba",0,1
"01_02","s__Richtersius coronifer",0,1
"01_02","s__Sminthurides aquaticus",0,1
"01_02","s__Steganacarus magnus",0,1
"01_02","s__Steinernema affine",0,1
"01_02","s__Steinernema glaseri",0,1
"01_02","s__Styloplanella strongylostomoides",0,1
"01_02","s__Tectocepheus velatus",0,1
"01_02","s__Teratocephalus lirellus",1,1
"01_02","s__Teratocephalus terrestris",0,1
"01_02","s__Tomocerus minor",0,1
"01_02","s__Trachytes baloghi",1,1
"01_02","s__Tullbergia yosii",0,1
"01_02","s__Weberacantha beckeri",0,1
"01_02","s__Xenillus tegeocranus",0,1
"01_03","f__Achromadoridae",0,1
"01_03","f__Alycidae",0,1
"01_03","f__Anystidae",0,1
"01_03","f__Bdellidae",0,1
"01_03","f__Brachychthoniidae",0,1
"01_03","f__Candonidae",0,1
"01_03","f__Catenulidae",0,1
"01_03","f__Eniochthoniidae",0,1
"01_03","f__Eulohmanniidae",0,1
"01_03","f__Euphthiracaridae",0,1
"01_03","f__Eviphididae",0,1
"01_03","f__Halacaridae",0,1
"01_03","f__Hemileiidae",0,1
"01_03","f__Julidae",0,1
"01_03","f__Labidostommatidae",0,1
"01_03","f__Macrochelidae",0,1
"01_03","f__Oppiidae",0,1
"01_03","f__Paronellidae",0,1
"01_03","f__Rhagidiidae",0,1
"01_03","f__Stenostomidae",0,1
"01_03","f__Tomoceridae",0,1
"01_03","f__Tylenchidae",0,1
"01_03","f__Tylenchulidae",0,1
"01_03","f__Zerconidae",0,1
"01_03","g__Achaeta",0,1
"01_03","g__Adineta",0,1
"01_03","g__Alaimus",0,1
"01_03","g__Allodorylaimus",0,1
"01_03","g__Aphelenchoides",0,1
"01_03","g__Aporcelaimellus",0,1
"01_03","g__Astatumen",0,1
"01_03","g__Attheyella",0,1
"01_03","g__Baicalellia",0,1
"01_03","g__Bastiania",0,1
"01_03","g__Bertolanius",0,1
"01_03","g__Bryocamptus",0,1
"01_03","g__Bunonema",1,1
"01_03","g__Cephalenchus",0,1
"01_03","g__Cernosvitoviella",0,1
"01_03","g__Chaetonotus",1,1
"01_03","g__Choriorhabditis",0,1
"01_03","g__Chrysonema",0,1
"01_03","g__Clarkus",0,1
"01_03","g__Collotheca",0,1
"01_03","g__Coslenchus",0,1
"01_03","g__Crassolabium",0,1
"01_03","g__Criconema",1,1
"01_03","g__Cylindrolaimus",0,1
"01_03","g__Cyrthermannia",1,1
"01_03","g__Didymodactylos",1,1
"01_03","g__Diphascon",0,1
"01_03","g__Diplogasteroides",0,1
"01_03","g__Discotylenchus",0,1
"01_03","g__Ditylenchus",0,1
"01_03","g__Ecphyadophora",0,1
"01_03","g__Enchodelus",0,1
"01_03","g__Ethmolaimus",0,1
"01_03","g__Eudorylaimus",1,1
"01_03","g__Eumonhystera",1,1
"01_03","g__Euteratocephalus",0,1
"01_03","g__Filenchus",1,1
"01_03","g__Floscularia",0,1
"01_03","g__Foveacheles",0,1
"01_03","g__Friesea",0,1
"01_03","g__Geminoppia",0,1
"01_03","g__Geocentrophora",0,1
"01_03","g__Geomonhystera",0,1
"01_03","g__Haliplectus",0,1
"01_03","g__Helicotylenchus",0,1
"01_03","g__Hemienchytraeus",0,1
"01_03","g__Hermannia",0,1
"01_03","g__Heterolepidoderma",0,1
"01_03","g__Howardula",0,1
"01_03","g__Hypogastrura",0,1
