,microhabitat,feeding_guild,secondary_guilds,moisture_pref,size_class,phylum,class,order,family,genus,species
f__Achromadoridae,he,b,,m,micro,Nematoda,Chromadorea,Chromadorida,Achromadoridae,Achromadora,Achromadora ruricola
g__Adineta,ep,b,,h,micro,Rotifera,Bdelloidea,Bdelloidea,Adinetidae,Adineta,Adineta vaga
o__Bdelloida,ep,b,,h,micro,Rotifera,Bdelloidea,Bdelloida,Adinetidae,Adinetida,NA
g__Alaimus,eu,b,,m,micro,Nematoda,Enoplea,Enoplida,Alaimidae,Alaimus,NA
s__Basiria duplexa,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Basiria,Basiria duplexa
g__Bastiania,he,b,,m,micro,Nematoda,Enoplea,Triplonchida,Bastianiidae,Bastiania,Bastiania gracilis
g__Bunonema,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Bunonematidae,Bunonema,Bunonema reticulatum
g__Choriorhabditis,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Choriorhabditis,Choriorhabditis dudichi
g__Collotheca,aq,b,,h,micro,Rotifera,Bdelloidea,Collothecacea,Collothecidae,Collotheca,Collotheca campanulata
g__Cylindrolaimus,eu,b,,h,micro,Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,Cylindrolaimus,NA
g__Didymodactylos,ep,b,,m,micro,Rotifera,Bdelloidea,Bdelloidea,Philodinidae,Didymodactylos,Didymodactylos carnosus
g__Diplogasteroides,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Diplogasteroides,Diplogasteroides magnus
g__Ecphyadophora,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Ecphyadophora,Ecphyadophora tenuissima
g__Ethmolaimus,he,b,,h,micro,Nematoda,Chromadorea,Chromadorida,Ethmolaimidae,Ethmolaimus,Ethmolaimus pratensis
g__Eumonhystera,eu,b,,h,micro,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Eumonhystera,NA
g__Floscularia,aq,b,,h,micro,Rotifera,Bdelloidea,Flosculariaceae,Flosculariidae,Floscularia,Floscularia bifida
g__Geomonhystera,he,b,,m,micro,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Geomonhystera,Geomonhystera villosa
g__Haliplectus,aq,b,,h,micro,Nematoda,Chromadorea,Plectida,Haliplectidae,Haliplectus,NA
g__Ironus,he,b,,h,micro,Nematoda,Enoplea,Enoplida,Ironidae,Ironus,NA
g__Notholca,aq,b,,h,micro,Rotifera,Bdelloidea,Ploima,Brachionidae,Notholca,Notholca acuminata
