"","sample","species"
"1","D_10_B1","Alauda_arvensis"
"2","D_02_P1","Anas_crecca"
"3","D_02_P2d","Anas_crecca"
"4","D_03_P2d","Anas_crecca"
"5","D_07_B1","Bufo_bufo"
"6","D_09_B2","Bufo_bufo"
"7","D_05_P2","Buteo_buteo"
"8","D_01_P2","Capreolus_capreolus"
"9","D_01_B2","Cervus_elaphus"
"10","D_01_P2","Cervus_elaphus"
"11","D_05_P1d","Cervus_elaphus"
"12","D_06_B1","Cervus_elaphus"
"13","D_09_B1","Cervus_elaphus"
"14","D_09_B3","Cervus_elaphus"
"15","D_02_B2d","Cervus_nippon"
"16","D_04_B1","Cervus_nippon"
"17","D_04_P1d","Cervus_nippon"
"18","D_07_P2","Cervus_nippon"
"19","D_09_B4","Cervus_nippon"
"20","D_08_P1","Columba_palumbus"
"21","D_03_B1d","Dendrocopos_major"
"22","D_04_B1","Dendrocopos_major"
"23","D_04_B2d","Dendrocopos_major"
"24","D_04_P1d","Dendrocopos_major"
"25","D_01_P1d","Erithacus_rubecula"
"26","D_01_P2","Erithacus_rubecula"
"27","D_04_B1","Erithacus_rubecula"
"28","D_06_P1","Erithacus_rubecula"
"29","D_06_P2","Erithacus_rubecula"
"30","D_08_B1","Erithacus_rubecula"
"31","D_08_P1","Erithacus_rubecula"
"32","D_06_B1","Fringilla_coelebs"
"33","D_04_B1","Fringillidae"
"34","D_06_P1","Fringillidae"
"35","D_07_B2","Fringillidae"
"36","D_08_B1","Fringillidae"
"37","D_08_P2","Fringillidae"
"38","D_07_B1","Lepus_timidus"
"39","D_01_B1","Lissotriton_helveticus"
"40","D_05_P1d","Lissotriton_helveticus"
"41","D_06_B2","Lissotriton_helveticus"
"42","D_06_B1","Lyrurus_tetrix"
"43","D_04_B2d","Martes_martes"
"44","D_08_P1","Muscicapidae"
"45","D_04_B1","Ovis_aries"
"46","D_02_B2d","Parus_major"
"47","D_03_B1d","Parus_major"
"48","D_04_B1","Parus_major"
"49","D_04_B2d","Parus_major"
"50","D_09_B2","Parus_major"
"51","D_01_P1d","Phasianidae"
"52","D_02_P1","Phasianidae"
"53","D_02_P2d","Phasianidae"
"54","D_03_P1d","Phasianidae"
"55","D_06_B1","Phasianidae"
"56","D_06_B2","Phasianidae"
"57","D_06_P1","Phasianidae"
"58","D_07_B2","Phasianidae"
"59","D_08_B2","Phasianidae"
"60","D_10_P1","Phasianidae"
"61","D_02_B1d","Phasianus_colchicus"
"62","D_03_B2d","Phasianus_colchicus"
"63","D_09_B2","Phasianus_colchicus"
"64","D_01_P2","Phylloscopus"
"65","D_05_P1d","Phylloscopus"
"66","D_05_P2","Phylloscopus"
"67","D_06_B1","Phylloscopus"
"68","D_06_B2","Phylloscopus"
"69","D_06_P1","Phylloscopus"
"70","D_06_P2","Phylloscopus"
"71","D_07_B2","Phylloscopus"
"72","D_07_P2","Phylloscopus"
"73","D_08_B1","Phylloscopus"
"74","D_08_B2","Phylloscopus"
"75","D_09_B2","Phylloscopus"
"76","D_09_B3","Phylloscopus"
"77","D_09_B4","Phylloscopus"
"78","D_06_B2","Prunella_modularis"
"79","D_06_B2","Rana_temporaria"
"80","D_10_B1","Rana_temporaria"
"81","D_03_P2d","Sorex_araneus"
"82","D_01_B1","Sorex_minutus"
"83","D_02_B2d","Sturnus_vulgaris"
"84","D_01_B1","Sus_scrofa"
"85","D_01_B2","Sus_scrofa"
"86","D_02_B2d","Sus_scrofa"
"87","D_02_P1","Sus_scrofa"
"88","D_06_B2","Sus_scrofa"
"89","D_08_B2","Sus_scrofa"
"90","D_09_B1","Sus_scrofa"
"91","D_09_B3","Sus_scrofa"
"92","D_01_B1","Troglodytes_troglodytes"
"93","D_04_B3","Troglodytes_troglodytes"
"94","D_09_B2","Troglodytes_troglodytes"
"95","D_02_P1","Turdus"
"96","D_04_B2d","Turdus"
"97","D_04_B1","Turdus_philomelos"
"98","D_04_B1","Vulpes_vulpes"
