file,site,date,time,start,end,species,common name,class,confidence,check,checker
20240619_152500.BirdNET.results.csv,1,19/06/2024,15:25:00,18,21,Regulus regulus,Goldcrest,Aves,0.8848,1,TC
20240619_152500.BirdNET.results.csv,1,19/06/2024,15:25:00,45,48,Regulus regulus,Goldcrest,Aves,0.3184,2,TC
20240619_231000.WAV,1,19/06/2024,23:10:55,,,Pipistrellus pygmaeus,Soprano Pipistrelle,Mammalia,0.94,1,CC
20240620_171500.BirdNET.results.csv,1,20/06/2024,17:15:00,57,60,Actitis hypoleucos,Common Sandpiper,Aves,0.5071,3,TC
20240620_044500.BirdNET.results.csv,1,20/06/2024,04:45:00,24,27,Anthus trivialis,Tree Pipit,Aves,0.778,1,TC
20240620_044500.BirdNET.results.csv,1,20/06/2024,04:45:00,33,36,Anthus trivialis,Tree Pipit,Aves,0.9269,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,12,15,Anthus trivialis,Tree Pipit,Aves,0.9804,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,15,18,Anthus trivialis,Tree Pipit,Aves,0.7594,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,21,24,Anthus trivialis,Tree Pipit,Aves,0.9735,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,3,6,Anthus trivialis,Tree Pipit,Aves,0.9916,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,30,33,Anthus trivialis,Tree Pipit,Aves,0.9924,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,39,42,Anthus trivialis,Tree Pipit,Aves,0.9972,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,42,45,Anthus trivialis,Tree Pipit,Aves,0.9985,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,48,51,Anthus trivialis,Tree Pipit,Aves,0.9998,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,51,54,Anthus trivialis,Tree Pipit,Aves,0.5488,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,57,60,Anthus trivialis,Tree Pipit,Aves,0.999,1,TC
20240620_054000.BirdNET.results.csv,1,20/06/2024,05:40:00,6,9,Anthus trivialis,Tree Pipit,Aves,0.9975,1,TC
20240620_054500.BirdNET.results.csv,1,20/06/2024,05:45:00,24,27,Anthus trivialis,Tree Pipit,Aves,0.4105,1,TC
20240620_054500.BirdNET.results.csv,1,20/06/2024,05:45:00,27,30,Anthus trivialis,Tree Pipit,Aves,0.9886,1,TC
20240620_054500.BirdNET.results.csv,1,20/06/2024,05:45:00,42,45,Anthus trivialis,Tree Pipit,Aves,0.9898,1,TC
20240620_054500.BirdNET.results.csv,1,20/06/2024,05:45:00,51,54,Anthus trivialis,Tree Pipit,Aves,0.991,1,TC
20240620_055000.BirdNET.results.csv,1,20/06/2024,05:50:00,15,18,Anthus trivialis,Tree Pipit,Aves,0.9666,1,TC
20240620_054500.BirdNET.results.csv,1,20/06/2024,05:45:00,18,21,Anthus trivialis,Tree Pipit,Aves,0.6829,3,TC
20240620_061001.BirdNET.results.csv,1,20/06/2024,06:10:00,42,45,Certhia familiaris,Eurasian Treecreeper,Aves,0.5303,2,TC
20240620_061001.BirdNET.results.csv,1,20/06/2024,06:10:00,51,54,Certhia familiaris,Eurasian Treecreeper,Aves,0.2858,2,TC
20240620_082000.BirdNET.results.csv,1,20/06/2024,08:20:00,18,21,Certhia familiaris,Eurasian Treecreeper,Aves,0.3192,2,TC
20240620_080500.BirdNET.results.csv,1,20/06/2024,08:05:00,12,15,Muscicapa striata,Spotted Flycatcher,Aves,0.7375,1,TC
20240620_080500.BirdNET.results.csv,1,20/06/2024,08:05:00,15,18,Muscicapa striata,Spotted Flycatcher,Aves,0.5444,1,TC
20240620_080500.BirdNET.results.csv,1,20/06/2024,08:05:00,3,6,Muscicapa striata,Spotted Flycatcher,Aves,0.4442,1,TC
20240620_080500.BirdNET.results.csv,1,20/06/2024,08:05:00,9,12,Muscicapa striata,Spotted Flycatcher,Aves,0.5795,1,TC
20240620_081000.BirdNET.results.csv,1,20/06/2024,08:10:00,18,21,Muscicapa striata,Spotted Flycatcher,Aves,0.9324,1,TC
20240620_081000.BirdNET.results.csv,1,20/06/2024,08:10:00,42,45,Muscicapa striata,Spotted Flycatcher,Aves,0.3125,1,TC
20240620_081000.BirdNET.results.csv,1,20/06/2024,08:10:00,54,57,Muscicapa striata,Spotted Flycatcher,Aves,0.7448,1,TC
20240620_081500.BirdNET.results.csv,1,20/06/2024,08:15:00,27,30,Muscicapa striata,Spotted Flycatcher,Aves,0.2596,1,TC
20240620_081500.BirdNET.results.csv,1,20/06/2024,08:15:00,30,33,Muscicapa striata,Spotted Flycatcher,Aves,0.4787,1,TC
20240620_081500.BirdNET.results.csv,1,20/06/2024,08:15:00,45,48,Muscicapa striata,Spotted Flycatcher,Aves,0.6566,1,TC
20240620_081500.BirdNET.results.csv,1,20/06/2024,08:15:00,6,9,Muscicapa striata,Spotted Flycatcher,Aves,0.2526,1,TC
20240620_075000.BirdNET.results.csv,1,20/06/2024,07:50:00,39,42,Muscicapa striata,Spotted Flycatcher,Aves,0.4981,2,TC
20240620_075000.BirdNET.results.csv,1,20/06/2024,07:50:00,48,51,Muscicapa striata,Spotted Flycatcher,Aves,0.4824,2,TC
20240620_075500.BirdNET.results.csv,1,20/06/2024,07:55:00,12,15,Muscicapa striata,Spotted Flycatcher,Aves,0.4436,2,TC
20240620_082500.BirdNET.results.csv,1,20/06/2024,08:25:00,21,24,Muscicapa striata,Spotted Flycatcher,Aves,0.2829,2,TC
20240620_082500.BirdNET.results.csv,1,20/06/2024,08:25:00,30,33,Muscicapa striata,Spotted Flycatcher,Aves,0.2819,2,TC
20240620_083500.BirdNET.results.csv,1,20/06/2024,08:35:00,12,15,Muscicapa striata,Spotted Flycatcher,Aves,0.5234,2,TC
20240620_083500.BirdNET.results.csv,1,20/06/2024,08:35:00,21,24,Muscicapa striata,Spotted Flycatcher,Aves,0.3475,2,TC
20240620_083500.BirdNET.results.csv,1,20/06/2024,08:35:00,42,45,Muscicapa striata,Spotted Flycatcher,Aves,0.298,2,TC
20240620_170500.BirdNET.results.csv,1,20/06/2024,17:05:00,45,48,Muscicapa striata,Spotted Flycatcher,Aves,0.4737,2,TC
20240620_172501.BirdNET.results.csv,1,20/06/2024,17:25:00,33,36,Muscicapa striata,Spotted Flycatcher,Aves,0.5539,2,TC
20240620_172501.BirdNET.results.csv,1,20/06/2024,17:25:00,39,42,Muscicapa striata,Spotted Flycatcher,Aves,0.567,2,TC
20240620_172501.BirdNET.results.csv,1,20/06/2024,17:25:00,51,54,Muscicapa striata,Spotted Flycatcher,Aves,0.74,2,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,3,6,Muscicapa striata,Spotted Flycatcher,Aves,0.7113,3,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,21,24,Periparus ater,Coal Tit,Aves,0.2972,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,27,30,Periparus ater,Coal Tit,Aves,0.6124,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,3,6,Periparus ater,Coal Tit,Aves,0.5667,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,33,36,Periparus ater,Coal Tit,Aves,0.8606,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,39,42,Periparus ater,Coal Tit,Aves,0.3481,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,42,45,Periparus ater,Coal Tit,Aves,0.633,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,45,48,Periparus ater,Coal Tit,Aves,0.8459,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,48,51,Periparus ater,Coal Tit,Aves,0.3323,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,6,9,Periparus ater,Coal Tit,Aves,0.7737,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,0,3,Periparus ater,Coal Tit,Aves,0.4091,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,12,15,Periparus ater,Coal Tit,Aves,0.8487,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,15,18,Periparus ater,Coal Tit,Aves,0.5397,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,18,21,Periparus ater,Coal Tit,Aves,0.8175,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,24,27,Periparus ater,Coal Tit,Aves,0.746,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,3,6,Periparus ater,Coal Tit,Aves,0.3248,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,36,39,Periparus ater,Coal Tit,Aves,0.4432,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,39,42,Periparus ater,Coal Tit,Aves,0.5466,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,42,45,Periparus ater,Coal Tit,Aves,0.3223,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,54,57,Periparus ater,Coal Tit,Aves,0.9405,1,TC
20240620_041500.BirdNET.results.csv,1,20/06/2024,04:15:00,6,9,Periparus ater,Coal Tit,Aves,0.7768,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,15,18,Periparus ater,Coal Tit,Aves,0.5101,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,24,27,Periparus ater,Coal Tit,Aves,0.7019,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,27,30,Periparus ater,Coal Tit,Aves,0.5487,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,30,33,Periparus ater,Coal Tit,Aves,0.7151,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,39,42,Periparus ater,Coal Tit,Aves,0.9517,1,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,42,45,Periparus ater,Coal Tit,Aves,0.9621,1,TC
20240620_033000.BirdNET.results.csv,6,20/06/2024,03:30:00,3,6,Acanthis cabaret,Lesser Redpoll,Aves,0.3046,corrected,TC
20240620_084000.BirdNET.results.csv,6,20/06/2024,08:40:00,24,27,Acanthis cabaret,Lesser Redpoll,Aves,0.5933,corrected,TC
20240621_094500.BirdNET.results.csv,6,21/06/2024,09:45:00,42,45,Acanthis cabaret,Lesser Redpoll,Aves,0.6829,corrected,TC
20240622_110500.BirdNET.results.csv,6,22/06/2024,11:05:00,30,33,Acanthis cabaret,Lesser Redpoll,Aves,0.3194,corrected,TC
20240623_103500.BirdNET.results.csv,6,23/06/2024,10:35:00,21,24,Acanthis cabaret,Lesser Redpoll,Aves,0.2563,corrected,TC
20240624_035000.BirdNET.results.csv,6,24/06/2024,03:50:00,36,39,Acanthis cabaret,Lesser Redpoll,Aves,0.2864,corrected,TC
20240624_142500.BirdNET.results.csv,6,24/06/2024,14:25:00,54,57,Acanthis cabaret,Lesser Redpoll,Aves,0.3272,corrected,TC
20240622_091000.BirdNET.results.csv,8,22/06/2024,09:10:00,45,48,Acanthis cabaret,Lesser Redpoll,Aves,0.257,corrected,TC
20240623_195500.BirdNET.results.csv,8,23/06/2024,19:55:00,0,3,Acanthis cabaret,Lesser Redpoll,Aves,0.5695,corrected,TC
20240624_093000.BirdNET.results.csv,8,24/06/2024,09:30:00,54,57,Acanthis cabaret,Lesser Redpoll,Aves,0.5997,corrected,TC
20240624_100500.BirdNET.results.csv,5,24/06/2024,10:05:00,21,24,Acanthis cabaret,Lesser Redpoll,Aves,0.4188,corrected,TC
20240619_181500.BirdNET.results.csv,6,19/06/2024,18:15:00,12,15,Acanthis cabaret,Lesser Redpoll,Aves,0.5948,corrected,TC
20240619_184500.BirdNET.results.csv,6,19/06/2024,18:45:00,0,3,Acanthis cabaret,Lesser Redpoll,Aves,0.3992,corrected,TC
20240619_201000.BirdNET.results.csv,6,19/06/2024,20:10:00,6,9,Acanthis cabaret,Lesser Redpoll,Aves,0.2514,corrected,TC
20240620_045000.BirdNET.results.csv,6,20/06/2024,04:50:00,42,45,Acanthis cabaret,Lesser Redpoll,Aves,0.4509,corrected,TC
20240620_152500.BirdNET.results.csv,6,20/06/2024,15:25:00,36,39,Acanthis cabaret,Lesser Redpoll,Aves,0.8186,corrected,TC
20240621_120000.BirdNET.results.csv,6,21/06/2024,12:00:00,27,30,Acanthis cabaret,Lesser Redpoll,Aves,0.2917,corrected,TC
20240621_140500.BirdNET.results.csv,6,21/06/2024,14:05:00,57,60,Acanthis cabaret,Lesser Redpoll,Aves,0.3356,corrected,TC
20240622_063000.BirdNET.results.csv,6,22/06/2024,06:30:00,18,21,Acanthis cabaret,Lesser Redpoll,Aves,0.9669,corrected,TC
20240622_130500.BirdNET.results.csv,6,22/06/2024,13:05:00,3,6,Acanthis cabaret,Lesser Redpoll,Aves,0.257,corrected,TC
20240622_025500.BirdNET.results.csv,8,22/06/2024,02:55:00,21,24,Acanthis cabaret,Lesser Redpoll,Aves,0.3913,corrected,TC
20240624_060500.BirdNET.results.csv,8,24/06/2024,06:05:00,42,45,Acanthis cabaret,Lesser Redpoll,Aves,0.2529,corrected,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,51,54,Periparus ater,Coal Tit,Aves,0.4057,1,TC
20240620_041000.BirdNET.results.csv,1,20/06/2024,04:10:00,57,60,Periparus ater,Coal Tit,Aves,0.2651,2,TC
20240620_043500.BirdNET.results.csv,1,20/06/2024,04:35:00,45,48,Periparus ater,Coal Tit,Aves,0.5771,2,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,30,33,Regulus regulus,Goldcrest,Aves,0.9973,1,TC
20240619_105500.BirdNET.results.csv,6,19/06/2024,10:55:00,0,3,Acanthis flammea,Common Redpoll,Aves,0.4102,4,TC
20240619_103000.BirdNET.results.csv,6,19/06/2024,10:30:00,57,60,Acanthis flammea,,Aves,0.3925,4,TC
20240619_133000.BirdNET.results.csv,6,19/06/2024,13:30:00,24,27,Acanthis flammea,,Aves,0.7777,4,TC
20240619_133000.BirdNET.results.csv,6,19/06/2024,13:30:00,27,30,Acanthis flammea,,Aves,0.9215,4,TC
20240619_133000.BirdNET.results.csv,6,19/06/2024,13:30:00,30,33,Acanthis flammea,,Aves,0.6759,4,TC
20240619_133000.BirdNET.results.csv,6,19/06/2024,13:30:00,33,36,Acanthis flammea,,Aves,0.3734,4,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,33,36,Regulus regulus,Goldcrest,Aves,0.7561,1,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,39,42,Regulus regulus,Goldcrest,Aves,0.982,1,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,42,45,Regulus regulus,Goldcrest,Aves,0.9983,1,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,54,57,Regulus regulus,Goldcrest,Aves,0.9964,1,TC
20240620_091000.BirdNET.results.csv,1,20/06/2024,09:10:00,0,3,Regulus regulus,Goldcrest,Aves,0.2927,1,TC
20240620_073500.BirdNET.results.csv,1,20/06/2024,07:35:00,0,3,Regulus regulus,Goldcrest,Aves,0.4875,3,TC
20240620_074500.BirdNET.results.csv,1,20/06/2024,07:45:00,57,60,Regulus regulus,Goldcrest,Aves,0.411,3,TC
20240620_093000.BirdNET.results.csv,1,20/06/2024,09:30:00,18,21,Spinus spinus,Eurasian Siskin,Aves,0.9536,1,TC
20240620_093000.BirdNET.results.csv,1,20/06/2024,09:30:00,30,33,Spinus spinus,Eurasian Siskin,Aves,0.7431,1,TC
20240620_093000.BirdNET.results.csv,1,20/06/2024,09:30:00,9,12,Spinus spinus,Eurasian Siskin,Aves,0.8806,1,TC
20240620_144500.BirdNET.results.csv,1,20/06/2024,14:45:00,51,54,Spinus spinus,Eurasian Siskin,Aves,0.9744,1,TC
20240620_144500.BirdNET.results.csv,1,20/06/2024,14:45:00,54,57,Spinus spinus,Eurasian Siskin,Aves,0.786,1,TC
20240620_144500.BirdNET.results.csv,1,20/06/2024,14:45:00,57,60,Spinus spinus,Eurasian Siskin,Aves,0.8949,1,TC
20240620_144500.BirdNET.results.csv,1,20/06/2024,14:45:00,6,9,Spinus spinus,Eurasian Siskin,Aves,0.9451,1,TC
20240620_144500.BirdNET.results.csv,1,20/06/2024,14:45:00,9,12,Spinus spinus,Eurasian Siskin,Aves,0.668,1,TC
20240620_175000.BirdNET.results.csv,1,20/06/2024,17:50:00,27,30,Spinus spinus,Eurasian Siskin,Aves,0.9178,1,TC
20240622_092000.BirdNET.results.csv,2,22/06/2024,09:20:00,3,6,Actitis hypoleucos,Common Sandpiper,Aves,0.3093,4,TC
20240624_042000.BirdNET.results.csv,3,24/06/2024,04:20:00,18,21,Actitis hypoleucos,Common Sandpiper,Aves,0.2509,4,TC
20240621_091000.BirdNET.results.csv,4,21/06/2024,09:10:00,21,24,Actitis hypoleucos,Common Sandpiper,Aves,0.4205,4,TC
20240621_182000.BirdNET.results.csv,4,21/06/2024,18:20:00,57,60,Actitis hypoleucos,Common Sandpiper,Aves,0.5156,4,TC
20240622_093500.BirdNET.results.csv,5,22/06/2024,09:35:00,42,45,Actitis hypoleucos,Common Sandpiper,Aves,0.3571,4,TC
20240622_093500.BirdNET.results.csv,5,22/06/2024,09:35:00,57,60,Actitis hypoleucos,Common Sandpiper,Aves,0.7875,4,TC
20240623_095500.BirdNET.results.csv,5,23/06/2024,09:55:00,3,6,Actitis hypoleucos,Common Sandpiper,Aves,0.3931,4,TC
20240623_124500.BirdNET.results.csv,5,23/06/2024,12:45:00,0,3,Actitis hypoleucos,Common Sandpiper,Aves,0.5843,4,TC
20240623_154000.BirdNET.results.csv,5,23/06/2024,15:40:00,12,15,Actitis hypoleucos,Common Sandpiper,Aves,0.7904,4,TC
20240623_154500.BirdNET.results.csv,5,23/06/2024,15:45:00,3,6,Actitis hypoleucos,Common Sandpiper,Aves,0.28,4,TC
20240624_151500.BirdNET.results.csv,5,24/06/2024,15:15:00,51,54,Actitis hypoleucos,Common Sandpiper,Aves,0.3293,4,TC
20240624_153500.BirdNET.results.csv,5,24/06/2024,15:35:00,12,15,Actitis hypoleucos,Common Sandpiper,Aves,0.4262,4,TC
