sample,blank
D_07_B1,NEG08
D_07_B2,NEG08
D_07_P1,NEG08
D_07_P2,NEG08
D_10_B1,NEG08
D_10_B2,NEG08
D_10_P1,NEG08
D_10_P2,NEG08
D_07_B1,POS08
D_07_B2,POS08
D_07_P1,POS08
D_07_P2,POS08
D_10_B1,POS08
D_10_B2,POS08
D_10_P1,POS08
D_10_P2,POS08
D_01_B1,NEG09
D_01_B2,NEG09
D_01_P1,NEG09
D_02_B1,NEG09
D_02_B2,NEG09
D_02_P1,NEG09
D_02_P2,NEG09
D_03_B1,NEG09
D_03_B2,NEG09
D_03_P1,NEG09
D_03_P2,NEG09
D_04_B1,NEG09
D_04_B2,NEG09
D_04_B3,NEG09
D_04_P1,NEG09
D_06_B1,NEG09
D_06_B2,NEG09
D_06_P1,NEG09
D_06_P2,NEG09
D_01_B1,POS09
D_01_B2,POS09
D_01_P1,POS09
D_02_B1,POS09
D_02_B2,POS09
D_02_P1,POS09
D_02_P2,POS09
D_03_B1,POS09
D_03_B2,POS09
D_03_P1,POS09
D_03_P2,POS09
D_04_B1,POS09
D_04_B2,POS09
D_04_B3,POS09
D_04_P1,POS09
D_06_B1,POS09
D_06_B2,POS09
D_06_P1,POS09
D_06_P2,POS09
D_01_P2,NEG10
D_05_B1,NEG10
D_05_B2,NEG10
D_05_P1,NEG10
D_05_P2,NEG10
D_08_B1,NEG10
D_08_B2,NEG10
D_08_P1,NEG10
D_08_P2,NEG10
D_09_B1,NEG10
D_09_B2,NEG10
D_09_B3,NEG10
D_09_B4,NEG10
D_01_P2,POS10
D_05_B1,POS10
D_05_B2,POS10
D_05_P1,POS10
D_05_P2,POS10
D_08_B1,POS10
D_08_B2,POS10
D_08_P1,POS10
D_08_P2,POS10
D_09_B1,POS10
D_09_B2,POS10
D_09_B3,POS10
D_09_B4,POS10
D_01_B1d,NEG11
D_01_P1d,NEG11
D_02_B1d,NEG11
D_02_B2d,NEG11
D_02_P1d,NEG11
D_02_P2d,NEG11
D_03_B1d,NEG11
D_03_B2d,NEG11
D_03_P1d,NEG11
D_03_P2d,NEG11
D_04_B2d,NEG11
D_04_B3d,NEG11
D_04_P1d,NEG11
D_05_B1d,NEG11
D_05_P1d,NEG11
D_01_B1d,POS11
D_01_P1d,POS11
D_02_B1d,POS11
D_02_B2d,POS11
D_02_P1d,POS11
D_02_P2d,POS11
D_03_B1d,POS11
D_03_B2d,POS11
D_03_P1d,POS11
D_03_P2d,POS11
D_04_B2d,POS11
D_04_B3d,POS11
D_04_P1d,POS11
D_05_B1d,POS11
D_05_P1d,POS11
D_07_B1,D_BK1
D_07_B2,D_BK1
D_07_P1,D_BK1
D_07_P2,D_BK1
D_10_B1,D_BK1
D_10_B2,D_BK1
D_10_P1,D_BK1
D_10_P2,D_BK1
D_04_B1,D_BK2
D_04_B2,D_BK2
D_04_B3,D_BK2
D_04_P1,D_BK2
D_06_B1,D_BK2
D_06_B2,D_BK2
D_06_P1,D_BK2
D_06_P2,D_BK2
D_04_B2d,D_BK2
D_04_B3d,D_BK2
D_04_P1d,D_BK2
D_02_B1,D_BK3
D_02_B2,D_BK3
D_02_P1,D_BK3
D_02_P2,D_BK3
D_03_B1,D_BK3
D_03_B2,D_BK3
D_03_P1,D_BK3
D_03_P2,D_BK3
D_02_B1d,D_BK3
D_02_B2d,D_BK3
D_02_P1d,D_BK3
D_02_P2d,D_BK3
D_03_B1d,D_BK3
D_03_B2d,D_BK3
D_03_P1d,D_BK3
D_03_P2d,D_BK3
D_08_B1,D_BK4
D_08_B2,D_BK4
D_08_P1,D_BK4
D_08_P2,D_BK4
D_09_B1,D_BK4
D_09_B2,D_BK4
D_09_B3,D_BK4
D_09_B4,D_BK4
D_05_B1d,D_BK5
D_05_P1d,D_BK5
D_01_B1d,D_BK5
D_01_P1d,D_BK5
D_01_B1,D_BK5
D_01_B2,D_BK5
D_01_P1,D_BK5
D_01_P2,D_BK5
D_05_B1,D_BK5
D_05_B2,D_BK5
D_05_P1,D_BK5
D_05_P2,D_BK5
D_07_B1,D_EB1
D_07_B2,D_EB1
D_07_P1,D_EB1
D_07_P2,D_EB1
D_10_B1,D_EB1
D_10_B2,D_EB1
D_10_P1,D_EB1
D_10_P2,D_EB1
D_04_B1,D_EB2
D_04_B2,D_EB2
D_04_B3,D_EB2
D_04_P1,D_EB2
D_06_B1,D_EB2
D_06_B2,D_EB2
D_06_P1,D_EB2
D_06_P2,D_EB2
D_04_B2d,D_EB2
D_04_B3d,D_EB2
D_04_P1d,D_EB2
D_02_B1,D_EB2
D_02_B2,D_EB2
D_02_P1,D_EB2
D_02_P2,D_EB2
D_03_B1,D_EB2
D_03_B2,D_EB2
D_03_P1,D_EB2
D_03_P2,D_EB2
D_02_B1d,D_EB2
D_02_B2d,D_EB2
D_02_P1d,D_EB2
D_02_P2d,D_EB2
D_03_B1d,D_EB2
D_03_B2d,D_EB2
D_03_P1d,D_EB2
D_03_P2d,D_EB2
D_08_B1,D_EB3
D_08_B2,D_EB3
D_08_P1,D_EB3
D_08_P2,D_EB3
D_09_B1,D_EB3
D_09_B2,D_EB3
D_09_B3,D_EB3
D_09_B4,D_EB3
D_05_B1d,D_EB3
D_05_P1d,D_EB3
D_01_B1d,D_EB3
D_01_P1d,D_EB3
D_01_B1,D_EB3
D_01_B2,D_EB3
D_01_P1,D_EB3
D_01_P2,D_EB3
D_05_B1,D_EB3
D_05_B2,D_EB3
D_05_P1,D_EB3
D_05_P2,D_EB3
