sample,site,condition,type,2024_age,grazing,size,mean_ndvi
D_01_B1,1,33,eDNA,250,Y,1.48,0.368
D_01_B2,1,33,eDNA,250,Y,1.48,0.368
D_01_P1d,1,33,eDNA,250,Y,1.48,0.368
D_01_P2,1,33,eDNA,250,Y,1.48,0.368
site1_win1,1,33,acoustic,250,Y,1.48,0.368
site1_win2,1,33,acoustic,250,Y,1.48,0.368
site1_win3,1,33,acoustic,250,Y,1.48,0.368
site1_win4,1,33,acoustic,250,Y,1.48,0.368
site1_win5,1,33,acoustic,250,Y,1.48,0.368
site1_win6,1,33,acoustic,250,Y,1.48,0.368
D_02_B1d,2,37,eDNA,250,Y,43.71,0.438
D_02_B2d,2,37,eDNA,250,Y,43.71,0.438
D_02_P1,2,37,eDNA,250,Y,43.71,0.438
D_02_P2d,2,37,eDNA,250,Y,43.71,0.438
site2_win1,2,37,acoustic,250,Y,43.71,0.438
site2_win2,2,37,acoustic,250,Y,43.71,0.438
site2_win3,2,37,acoustic,250,Y,43.71,0.438
site2_win4,2,37,acoustic,250,Y,43.71,0.438
site2_win5,2,37,acoustic,250,Y,43.71,0.438
site2_win6,2,37,acoustic,250,Y,43.71,0.438
D_03_B1d,3,38,eDNA,100,Y,28.24,0.451
D_03_B2d,3,38,eDNA,100,Y,28.24,0.451
D_03_P1d,3,38,eDNA,100,Y,28.24,0.451
D_03_P2d,3,38,eDNA,100,Y,28.24,0.451
site3_win1,3,38,acoustic,100,Y,28.24,0.451
site3_win2,3,38,acoustic,100,Y,28.24,0.451
site3_win3,3,38,acoustic,100,Y,28.24,0.451
site3_win4,3,38,acoustic,100,Y,28.24,0.451
site3_win5,3,38,acoustic,100,Y,28.24,0.451
site3_win6,3,38,acoustic,100,Y,28.24,0.451
D_04_B1,4,35,eDNA,50,Y,28.47,0.472
D_04_B2d,4,35,eDNA,50,Y,28.47,0.472
D_04_B3,4,35,eDNA,50,Y,28.47,0.472
D_04_P1d,4,35,eDNA,50,Y,28.47,0.472
site4_win1,4,35,acoustic,50,Y,28.47,0.472
site4_win2,4,35,acoustic,50,Y,28.47,0.472
site4_win3,4,35,acoustic,50,Y,28.47,0.472
site4_win4,4,35,acoustic,50,Y,28.47,0.472
site4_win5,4,35,acoustic,50,Y,28.47,0.472
site4_win6,4,35,acoustic,50,Y,28.47,0.472
D_05_B1,5,28,eDNA,22,Y,420.08,0.355
D_05_B2,5,28,eDNA,22,Y,420.08,0.355
D_05_P1d,5,28,eDNA,22,Y,420.08,0.355
D_05_P2,5,28,eDNA,22,Y,420.08,0.355
site5_win1,5,28,acoustic,22,Y,420.08,0.355
site5_win2,5,28,acoustic,22,Y,420.08,0.355
site5_win3,5,28,acoustic,22,Y,420.08,0.355
site5_win4,5,28,acoustic,22,Y,420.08,0.355
site5_win5,5,28,acoustic,22,Y,420.08,0.355
site5_win6,5,28,acoustic,22,Y,420.08,0.355
D_06_B1,6,27,eDNA,14,N,41.91,0.325
D_06_B2,6,27,eDNA,14,N,41.91,0.325
D_06_P1,6,27,eDNA,14,N,41.91,0.325
D_06_P2,6,27,eDNA,14,N,41.91,0.325
site6_win1,6,27,acoustic,14,N,41.91,0.325
site6_win6,6,27,acoustic,14,N,41.91,0.325
site6_win2,6,27,acoustic,14,N,41.91,0.325
site6_win3,6,27,acoustic,14,N,41.91,0.325
site6_win4,6,27,acoustic,14,N,41.91,0.325
site6_win5,6,27,acoustic,14,N,41.91,0.325
D_07_B1,7,25,eDNA,11,N,211.84,0.329
D_07_B2,7,25,eDNA,11,N,211.84,0.329
D_07_P1,7,25,eDNA,11,N,211.84,0.329
D_07_P2,7,25,eDNA,11,N,211.84,0.329
site7_win1,7,25,acoustic,11,N,211.84,0.329
site7_win2,7,25,acoustic,11,N,211.84,0.329
site7_win3,7,25,acoustic,11,N,211.84,0.329
site7_win4,7,25,acoustic,11,N,211.84,0.329
site7_win5,7,25,acoustic,11,N,211.84,0.329
site7_win6,7,25,acoustic,11,N,211.84,0.329
D_08_B1,8,29,eDNA,8,N,193.21,0.32
D_08_B2,8,29,eDNA,8,N,193.21,0.32
D_08_P1,8,29,eDNA,8,N,193.21,0.32
D_08_P2,8,29,eDNA,8,N,193.21,0.32
site8_win1,8,29,acoustic,8,N,193.21,0.32
site8_win6,8,29,acoustic,8,N,193.21,0.32
site8_win2,8,29,acoustic,8,N,193.21,0.32
site8_win3,8,29,acoustic,8,N,193.21,0.32
site8_win4,8,29,acoustic,8,N,193.21,0.32
site8_win5,8,29,acoustic,8,N,193.21,0.32
D_09_B1,9,28,eDNA,6,Y,23.27,0.373
D_09_B2,9,28,eDNA,6,Y,23.27,0.373
D_09_B3,9,28,eDNA,6,Y,23.27,0.373
D_09_B4,9,28,eDNA,6,Y,23.27,0.373
site9_win1,9,28,acoustic,6,Y,23.27,0.373
site9_win2,9,28,acoustic,6,Y,23.27,0.373
site9_win3,9,28,acoustic,6,Y,23.27,0.373
site9_win4,9,28,acoustic,6,Y,23.27,0.373
site9_win5,9,28,acoustic,6,Y,23.27,0.373
site9_win6,9,28,acoustic,6,Y,23.27,0.373
D_10_B1,10,24,eDNA,4,N,283.64,0.298
D_10_B2,10,24,eDNA,4,N,283.64,0.298
D_10_P1,10,24,eDNA,4,N,283.64,0.298
D_10_P2,10,24,eDNA,4,N,283.64,0.298
site10_win1,10,24,acoustic,4,N,283.64,0.298
site10_win2,10,24,acoustic,4,N,283.64,0.298
site10_win3,10,24,acoustic,4,N,283.64,0.298
site10_win4,10,24,acoustic,4,N,283.64,0.298
site10_win5,10,24,acoustic,4,N,283.64,0.298
site10_win6,10,24,acoustic,4,N,283.64,0.298
