,D_01_B1,D_01_B1d,D_01_B2,D_01_P1,D_01_P1d,D_01_P2,D_02_B1,D_02_B1d,D_02_B2,D_02_B2d,D_02_P1,D_02_P1d,D_02_P2,D_02_P2d,D_03_B1,D_03_B1d,D_03_B2,D_03_B2d,D_03_P1,D_03_P1d,D_03_P2,D_03_P2d,D_04_B1,D_04_B2,D_04_B2d,D_04_B3,D_04_B3d,D_04_P1,D_04_P1d,D_05_B1,D_05_B1d,D_05_B2,D_05_P1,D_05_P1d,D_05_P2,D_06_B1,D_06_B2,D_06_P1,D_06_P2,D_07_B1,D_07_B2,D_07_P1,D_07_P2,D_08_B1,D_08_B2,D_08_P1,D_08_P2,D_09_B1,D_09_B2,D_09_B3,D_09_B4,D_10_B1,D_10_B2,D_10_P1,D_10_P2,D_BK1,D_BK2,D_BK3,D_BK4,D_BK5,D_EB1,D_EB2,D_EB3,NEG01,NEG02,NEG03,NEG04,NEG05,NEG06,NEG07,NEG08,NEG09,NEG10,NEG11,POS01,POS02,POS03,POS04,POS05,POS06,POS07,POS08,POS09,POS10,POS11,taxonomy
Astatotilapia_calliptera,0,0,0,0,9472,0,0,1823,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7578,8875,7913,12162,5630,32545,11486,26866,27475,33885,450570,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cichliformes; f__Cichlidae; g__Astatotilapia; s__Astatotilapia_calliptera
Cobitis_taenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,16,0,47,4,83,29,68,1476,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cobitidae; g__Cobitis; s__Cobitis_taenia
Abramis_brama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Abramis; s__Abramis_brama
Pimephales_promelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,11,0,43,10,66,52,67,1556,d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Leuciscidae; g__Pimephales; s__Pimephales_promelas
Cottus_gobio,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,221,0,332,1173,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,d__Eukaryota; p__Chordata; c__Actinopteri; o__Perciformes; f__Cottidae; g__Cottus; s__Cottus_gobio
Gasterosteus_aculeatus,0,3,0,0,4,0,0,7650,0,9,0,3,0,4,0,0,0,5112,0,0,0,6629,0,0,4208,0,0,4,0,4,3,819,0,0,0,0,3,0,0,0,0,0,0,0,413,0,0,0,0,4,0,0,0,0,17,0,375,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,125,d__Eukaryota; p__Chordata; c__Actinopteri; o__Perciformes; f__Gasterosteidae; g__Gasterosteus; s__Gasterosteus_aculeatus
Percidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Perciformes; f__Percidae
Salmo_trutta,0,14884,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,7209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,d__Eukaryota; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salmo; s__Salmo_trutta
Bufo_bufo,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Bufonidae; g__Bufo; s__Bufo_bufo
Rana_temporaria,0,9,0,0,8,0,0,0,0,0,0,12303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Ranidae; g__Rana; s__Rana_temporaria
