Source.Nam,Note,field_3,Long,Lat,verts_data,_mean,_median,_stdev,_min,_max,_range
Site 1.csv,01_07,"57.2213109,-4.708702",-4.7087021,57.221310000000003,01_B1,0.351197384,0.34478727,0.03962555,0.270324379,0.466427058,0.196102679
Site 1.csv,01_14,"57.2206491,-4.716016",-4.7160168,57.220649000000002,01_B2,0.339357596,0.329406604,0.037240924,0.251606524,0.486351401,0.234744877
Site 1.csv,01_03,"57.2215455,-4.707422",-4.707422,57.221544999999999,01_P1,0.361518835,0.346286476,0.054079236,0.270324379,0.517898083,0.247573704
Site 1.csv,01_15,"57.2206624,-4.716630",-4.7166304,57.220661999999997,01_P2,0.335612855,0.325565547,0.034847778,0.251606524,0.486351401,0.234744877
Site 2.csv,02_05,"57.1930439,-4.776712",-4.7767125,57.193043000000003,02_B1,0.439602435,0.436249286,0.04012362,0.33769539,0.553648055,0.215952665
Site 2.csv,02_10,"57.1927827,-4.777335",-4.7773351,57.192782000000001,02_B2,0.457501562,0.459569275,0.043599246,0.33769539,0.575693369,0.237997979
Site 2.csv,02_03,"57.1925956,-4.775935",-4.7759357,57.192594999999997,02_P1,0.435307664,0.430887371,0.040426987,0.33769539,0.553648055,0.215952665
Site 2.csv,02_11,"57.1942937,-4.779814",-4.7798148,57.194293000000002,02_P2,0.408893241,0.407160699,0.03735741,0.301040828,0.493801266,0.192760438
Site 3.csv,03_02,"57.1938634,-4.764017",-4.7640176,57.193863000000000,03_B1,0.444812493,0.447457448,0.050642704,0.276735783,0.576622963,0.29988718
Site 3.csv,03_05,"57.1945322,-4.762271",-4.7622718,57.194532000000002,03_B2,0.42476678,0.419881314,0.043882502,0.325110823,0.576622963,0.25151214
Site 3.csv,03_10,"57.1944674,-4.760097",-4.7600976,57.194467000000003,03_P1,0.455877308,0.455567524,0.049870633,0.325670511,0.555471122,0.229800612
Site 3.csv,03_13,,,,03_P2,0.452005942,0.452562049,0.057257446,0.293242812,0.591545284,0.298302472
Site 4.csv,04_01,"57.1842747,-4.800372",-4.8003729,57.184274000000002,04_B1,0.483185837,0.491025016,0.044783827,0.357785225,0.567444324,0.2096591
Site 4.csv,04_10,"57.1853322,-4.794629",-4.7946297,57.185332000000002,04_B2,0.49824276,0.497855306,0.051217677,0.366654754,0.611548543,0.244893789
Site 4.csv,04_14,"57.1842584,-4.801400",-4.8014002,57.184258000000000,04_B3,0.467989179,0.475600302,0.049569341,0.346396953,0.567528725,0.221131772
Site 4.csv,04_12,"57.1849101,-4.802743",-4.802743,57.184910000000002,04_P1,0.456889548,0.457882598,0.057159919,0.306257367,0.596757829,0.290500462
Site 5.csv,05_01,"57.2197684,-4.720834",-4.7208347,57.219768000000002,05_B1,0.384343852,0.38376385,0.039248545,0.305813551,0.481955558,0.176142007
Site 5.csv,05_19,"57.2185264,-4.727852",-4.7278524,57.218525999999997,05_B2,0.38518091,0.38567099,0.030553772,0.286208212,0.462365597,0.176157385
Site 5.csv,05_07,"57.218778,-4.7231837",-4.7231837,57.218778000000000,05_P1,0.373874409,0.379174858,0.039012299,0.299934924,0.458022565,0.158087641
Site 7.csv,07_15,"57.215543,-4.7615523",-4.7615523,57.215542999999997,07_P2,0.352391882,0.354370683,0.032997311,0.291167676,0.423312873,0.132145196
Site 5.csv,05_17,"57.2190183,-4.727013",-4.7270132,57.219017999999998,05_P2,0.379434227,0.380116969,0.030222905,0.288240999,0.457436502,0.169195503
Site 6.csv,06_01,"57.2050458,-4.838833",-4.8388335,57.205044999999998,06_B1,0.322175764,0.315261781,0.033415836,0.258778632,0.413556755,0.154778123
Site 6.csv,06_05,"57.2063211,-4.838609",-4.8386098,57.206321000000003,06_B2,0.330209309,0.328996092,0.038087442,0.256317675,0.417057902,0.160740227
Site 6.csv,06_04,"57.2059877,-4.838549",-4.8385492,57.205987000000000,06_P1,0.327065444,0.322301328,0.036290645,0.256317675,0.417057902,0.160740227
Site 6.csv,06_08,"57.2070393,-4.839181",-4.8391812,57.207039000000002,06_P2,0.312290167,0.307882637,0.029521975,0.260746777,0.416139841,0.155393064
Site 7.csv,07_01,"57.2176792,-4.761732",-4.7617324,57.217678999999997,07_B1,0.321046983,0.317773417,0.024473351,0.274991095,0.394910455,0.11991936
Site 7.csv,07_04,"57.2172749,-4.763277",-4.7632773,57.217274000000003,07_B2,0.326391855,0.321569368,0.026258706,0.278706998,0.403978169,0.125271171
Site 7.csv,07_13,"57.2159151,-4.761657",-4.7616573,57.215915000000003,07_P1,0.350324944,0.345864654,0.033674815,0.290146619,0.423312873,0.133166254
Site 8.csv,08_02,"57.1998311,-4.789446",-4.7894466,57.199831000000003,08_B1,0.341427938,0.340707049,0.027963486,0.287808359,0.431928128,0.144119769
Site 8.csv,08_07,"57.2011282,-4.790760",-4.7907609,57.201127999999997,08_B2,0.337194589,0.338362828,0.020189462,0.28222996,0.403379858,0.121149898
Site 8.csv,08_04,"57.2003519,-4.789649",-4.7896495,57.200350999999998,08_P1,0.340651306,0.340194911,0.024524607,0.285416663,0.431928128,0.146511465
Site 8.csv,08_10,"57.201527,-4.791632",-4.791632,57.201526999999999,08_P2,0.347211983,0.344505906,0.023327088,0.29199475,0.40757075,0.115575999
Site 9.csv,09_02,"57.1973504,-4.783782",-4.7837821,57.197350000000000,09_B1,0.376011272,0.368361041,0.030970678,0.326832652,0.485288352,0.1584557
Site 9.csv,09_06,"57.1976813,-4.780544",-4.780544,57.197681000000003,09_B2,0.362728502,0.36133799,0.024891834,0.299616843,0.477510542,0.177893698
Site 9.csv,09_16,"57.1972616,-4.774479",-4.7744796,57.197260999999997,09_B3,0.394735518,0.387700602,0.034410041,0.33192569,0.510233939,0.178308249
Site 9.csv,09_17,"57.1967713,-4.774163",-4.7741637,57.196770999999998,09_B4,0.407487496,0.401120901,0.038944063,0.309908658,0.522338688,0.21243003
Site 10.csv,10_04,"57.2311497,-4.762690",-4.7626903,57.231149000000002,10_B2,0.303852395,0.301238924,0.021806311,0.261836439,0.387551278,0.125714839
Site 10.csv,10_02,"57.2321646,-4.761838",-4.7618383,57.232163999999997,10_B1,0.298170977,0.297218055,0.021660435,0.240729481,0.364721477,0.123991996
Site 10.csv,10_07,"57.2302955,-4.762739",-4.7627392,57.230294999999998,10_P1,0.296598402,0.294079766,0.022418769,0.243227497,0.387551278,0.144323781
Site 10.csv,10_09,"57.2300011,-4.761397",-4.7613974,57.230001000000001,10_P2,0.29172525,0.29206565,0.016402752,0.248488918,0.358778626,0.110289708
Audiomoths.csv,Audiomoth_01,"57.2206983,-4.716657",-4.7166575,57.220697999999999,Audiomoth_01,0.335673611,0.325672805,0.034833825,0.251606524,0.486351401,0.234744877
Audiomoths.csv,Audiomoth_02,"57.1929369,-4.777408",-4.7774089,57.192936000000003,Audiomoth_02,0.453470241,0.452539161,0.043741303,0.33769539,0.575693369,0.237997979
Audiomoths.csv,Audiomoth_03,"57.1944654,-4.761467",-4.7614678,57.194465000000001,Audiomoth_03,0.423102676,0.41959402,0.046793257,0.325110823,0.576622963,0.25151214
Audiomoths.csv,Audiomoth_04,,,,Audiomoth_04,0.466541881,0.474372953,0.050216496,0.346396953,0.567528725,0.221131772
Audiomoths.csv,Audiomoth_05,,,,Audiomoth_05,0.383478037,0.383448273,0.029609359,0.286208212,0.462365597,0.176157385
Audiomoths.csv,Audiomoth_06,"57.2058294,-4.839018",-4.8390189,57.205829000000001,Audiomoth_06,0.325156253,0.320160985,0.034881109,0.256317675,0.417057902,0.160740227
Audiomoths.csv,Audiomoth_07,"57.2168056,-4.758083",-4.7580833,57.216805000000001,Audiomoth_07,0.336760234,0.327291042,0.03544172,0.272147417,0.432169855,0.160022438
Audiomoths.csv,Audiomoth_08,"57.2012332,-4.791593",-4.7915937,57.201233000000002,Audiomoth_08,0.344350327,0.342587054,0.02340388,0.28222996,0.403443813,0.121213853
Audiomoths.csv,Audiomoth_09,"57.1972138,-4.770926",-4.770926,57.197212999999998,Audiomoth_09,0.405028397,0.39171347,0.05269461,0.274107128,0.584452271,0.310345143
Audiomoths.csv,Audiomoth_10,,,,Audiomoth_10,0.304111448,0.301646262,0.021829837,0.257413983,0.387551278,0.130137295
